법정동코드,통계년월,시도명,시군구명,읍면동명,리명,계,남자,여자
1111010100,2025-08-31,서울특별시,종로구,청운동,,2,0,2
1111010200,2025-08-31,서울특별시,종로구,신교동,,0,0,0
1111010300,2025-08-31,서울특별시,종로구,궁정동,,0,0,0
1111010400,2025-08-31,서울특별시,종로구,효자동,,0,0,0
1111010500,2025-08-31,서울특별시,종로구,창성동,,0,0,0
1111010600,2025-08-31,서울특별시,종로구,통의동,,0,0,0
1111010700,2025-08-31,서울특별시,종로구,적선동,,0,0,0
1111010800,2025-08-31,서울특별시,종로구,통인동,,0,0,0
1111010900,2025-08-31,서울특별시,종로구,누상동,,1,0,1
1111011000,2025-08-31,서울특별시,종로구,누하동,,0,0,0
1111011100,2025-08-31,서울특별시,종로구,옥인동,,1,0,1
1111011200,2025-08-31,서울특별시,종로구,체부동,,0,0,0
1111011300,2025-08-31,서울특별시,종로구,필운동,,0,0,0
1111011400,2025-08-31,서울특별시,종로구,내자동,,0,0,0
1111011500,2025-08-31,서울특별시,종로구,사직동,,1,0,1
1111011600,2025-08-31,서울특별시,종로구,도렴동,,0,0,0
1111011700,2025-08-31,서울특별시,종로구,당주동,,0,0,0
1111011800,2025-08-31,서울특별시,종로구,내수동,,1,1,0
1111012000,2025-08-31,서울특별시,종로구,신문로1가,,0,0,0
1111012100,2025-08-31,서울특별시,종로구,신문로2가,,0,0,0
1111012200,2025-08-31,서울특별시,종로구,청진동,,0,0,0
1111012300,2025-08-31,서울특별시,종로구,서린동,,0,0,0
1111012400,2025-08-31,서울특별시,종로구,수송동,,1,0,1
1111012500,2025-08-31,서울특별시,종로구,중학동,,0,0,0
1111012600,2025-08-31,서울특별시,종로구,종로1가,,0,0,0
1111012700,2025-08-31,서울특별시,종로구,공평동,,0,0,0
1111012800,2025-08-31,서울특별시,종로구,관훈동,,0,0,0
1111012900,2025-08-31,서울특별시,종로구,견지동,,0,0,0
1111013000,2025-08-31,서울특별시,종로구,와룡동,,0,0,0
1111013100,2025-08-31,서울특별시,종로구,권농동,,0,0,0
1111013200,2025-08-31,서울특별시,종로구,운니동,,0,0,0
1111013300,2025-08-31,서울특별시,종로구,익선동,,0,0,0
1111013400,2025-08-31,서울특별시,종로구,경운동,,0,0,0
1111013500,2025-08-31,서울특별시,종로구,관철동,,0,0,0
1111013600,2025-08-31,서울특별시,종로구,인사동,,0,0,0
1111013700,2025-08-31,서울특별시,종로구,낙원동,,0,0,0
1111013800,2025-08-31,서울특별시,종로구,종로2가,,0,0,0
1111013900,2025-08-31,서울특별시,종로구,팔판동,,0,0,0
1111014000,2025-08-31,서울특별시,종로구,삼청동,,3,1,2
1111014100,2025-08-31,서울특별시,종로구,안국동,,0,0,0
1111014200,2025-08-31,서울특별시,종로구,소격동,,0,0,0
1111014300,2025-08-31,서울특별시,종로구,화동,,0,0,0
1111014400,2025-08-31,서울특별시,종로구,사간동,,0,0,0
1111014600,2025-08-31,서울특별시,종로구,가회동,,0,0,0
1111014700,2025-08-31,서울특별시,종로구,재동,,0,0,0
1111014800,2025-08-31,서울특별시,종로구,계동,,0,0,0
1111014900,2025-08-31,서울특별시,종로구,원서동,,2,1,1
1111015100,2025-08-31,서울특별시,종로구,묘동,,0,0,0
1111015200,2025-08-31,서울특별시,종로구,봉익동,,0,0,0
1111015300,2025-08-31,서울특별시,종로구,돈의동,,0,0,0
1111015400,2025-08-31,서울특별시,종로구,장사동,,0,0,0
1111015500,2025-08-31,서울특별시,종로구,관수동,,0,0,0
1111015600,2025-08-31,서울특별시,종로구,종로3가,,0,0,0
